ID,Cause_Name,Deaths,Age-adjusted_Death_Rate,State
92,All causes,135656,777.3,Pennsylvania
93,All causes,10157,713.4,Rhode Island
94,All causes,49441,828,South Carolina
95,All causes,7996,736.6,South Dakota
96,All causes,70096,897.1,Tennessee
97,All causes,198106,735.7,Texas
98,All causes,18035,700.1,Utah
99,All causes,6007,714.9,Vermont
100,All causes,68579,719.4,Virginia
101,All causes,56995,688.6,Washington
102,All causes,23276,957.1,West Virginia
103,All causes,52681,722,Wisconsin
104,All causes,4768,714.6,Wyoming
105,Alzheimer's disease,121404,31,United States
106,Alzheimer's disease,2563,45.2,Alabama
107,Alzheimer's disease,98,22.1,Alaska
108,Alzheimer's disease,3058,35.1,Arizona
109,Alzheimer's disease,1436,39.4,Arkansas
110,Alzheimer's disease,16238,37.1,California
111,Alzheimer's disease,1830,34.2,Colorado
112,Alzheimer's disease,1077,20.4,Connecticut
113,Alzheimer's disease,377,30.6,Delaware
114,Alzheimer's disease,125,17.6,District of Columbia
115,Alzheimer's disease,6980,20.7,Florida
116,Alzheimer's disease,4290,46,Georgia
117,Alzheimer's disease,465,19.7,Hawaii
118,Alzheimer's disease,672,36.6,Idaho
119,Alzheimer's disease,4021,25.6,Illinois
120,Alzheimer's disease,2771,35.3,Indiana
121,Alzheimer's disease,1597,35.3,Iowa
122,Alzheimer's disease,894,24.3,Kansas
123,Alzheimer's disease,1765,35,Kentucky
124,Alzheimer's disease,2188,43.7,Louisiana
125,Alzheimer's disease,601,30.4,Maine
126,Alzheimer's disease,1191,17.1,Maryland
127,Alzheimer's disease,1841,19.9,Massachusetts
128,Alzheimer's disease,4428,34.5,Michigan
129,Alzheimer's disease,2474,34.9,Minnesota
130,Alzheimer's disease,1626,49.6,Mississippi
131,Alzheimer's disease,2545,32.3,Missouri
132,Alzheimer's disease,285,20.9,Montana
133,Alzheimer's disease,698,28.5,Nebraska
134,Alzheimer's disease,779,27.3,Nevada
135,Alzheimer's disease,436,24.8,New Hampshire
136,Alzheimer's disease,2829,23.6,New Jersey
137,Alzheimer's disease,572,22.7,New Mexico
138,Alzheimer's disease,3521,13.2,New York
139,Alzheimer's disease,4289,37.3,North Carolina
140,Alzheimer's disease,387,36.5,North Dakota
141,Alzheimer's disease,5117,33.6,Ohio
142,Alzheimer's disease,1752,39.4,Oklahoma
143,Alzheimer's disease,1850,36,Oregon
144,Alzheimer's disease,4213,21.7,Pennsylvania
145,Alzheimer's disease,435,27.3,Rhode Island
146,Alzheimer's disease,2549,45,South Carolina
147,Alzheimer's disease,444,36.9,South Dakota
148,Alzheimer's disease,3522,46.7,Tennessee
149,Alzheimer's disease,9545,38.5,Texas
150,Alzheimer's disease,991,42.1,Utah
151,Alzheimer's disease,370,42.9,Vermont
152,Alzheimer's disease,2549,27.6,Virginia
153,Alzheimer's disease,3710,46,Washington
154,Alzheimer's disease,770,30.6,West Virginia
155,Alzheimer's disease,2428,31.6,Wisconsin
156,Alzheimer's disease,212,32.7,Wyoming
157,Stroke,146383,37.6,United States
158,Stroke,2931,50,Alabama
159,Stroke,190,35.1,Alaska
160,Stroke,2681,30.8,Arizona
161,Stroke,1612,43.8,Arkansas
162,Stroke,16355,37.6,California
163,Stroke,1988,35.8,Colorado
164,Stroke,1403,27.8,Connecticut
165,Stroke,571,46.2,Delaware
166,Stroke,246,35.9,District of Columbia
167,Stroke,12602,38.9,Florida
168,Stroke,4399,43.5,Georgia
169,Stroke,764,37.5,Hawaii
170,Stroke,726,38.5,Idaho
171,Stroke,6020,38.9,Illinois
172,Stroke,3150,40.2,Indiana
173,Stroke,1416,32.8,Iowa
174,Stroke,1355,37.7,Kansas
175,Stroke,2050,39.4,Kentucky
176,Stroke,2460,47.4,Louisiana
177,Stroke,736,37.5,Maine
178,Stroke,2820,40.2,Maryland
179,Stroke,2367,26.5,Massachusetts
180,Stroke,5002,39.3,Michigan
181,Stroke,2250,32.6,Minnesota
182,Stroke,1723,51.1,Mississippi
183,Stroke,3159,41,Missouri
184,Stroke,487,35.6,Montana
185,Stroke,760,31.5,Nebraska
186,Stroke,1137,35.9,Nevada
187,Stroke,514,28.9,New Hampshire
188,Stroke,3474,30.2,New Jersey
189,Stroke,878,34.8,New Mexico
190,Stroke,6264,24.6,New York
191,Stroke,5098,43,North Carolina
192,Stroke,337,35.4,North Dakota
193,Stroke,6425,42.8,Ohio
194,Stroke,1947,43.3,Oklahoma
195,Stroke,2066,39.9,Oregon
196,Stroke,6700,36.5,Pennsylvania
197,Stroke,425,29.4,Rhode Island
198,Stroke,2691,44.9,South Carolina
199,Stroke,414,36.7,South Dakota
200,Stroke,3519,45,Tennessee
201,Stroke,10790,41.3,Texas
202,Stroke,888,36.2,Utah
203,Stroke,249,28.9,Vermont
204,Stroke,3555,37.5,Virginia
205,Stroke,3028,36.9,Washington
206,Stroke,1058,41.8,West Virginia
207,Stroke,2513,33.5,Wisconsin
208,Stroke,190,28.4,Wyoming
209,CLRD,160201,40.9,United States
210,CLRD,3484,57.8,Alabama
211,CLRD,204,35.9,Alaska
212,CLRD,3802,42.7,Arizona
213,CLRD,2517,66.7,Arkansas
214,CLRD,13881,32.2,California
215,CLRD,2604,45.6,Colorado
216,CLRD,1471,30.4,Connecticut
217,CLRD,526,40.8,Delaware
218,CLRD,137,19.6,District of Columbia
219,CLRD,12619,39,Florida
220,CLRD,4866,46.2,Georgia
221,CLRD,378,19,Hawaii
222,CLRD,925,47.3,Idaho
223,CLRD,5732,37.6,Illinois
224,CLRD,4375,55.2,Indiana
225,CLRD,1939,46.5,Iowa
226,CLRD,1832,51.7,Kansas
227,CLRD,3480,64.5,Kentucky
228,CLRD,2467,46.6,Louisiana
229,CLRD,982,48.7,Maine
230,CLRD,2079,29.9,Maryland
231,CLRD,2842,32.5,Massachusetts
232,CLRD,5688,44.3,Michigan
233,CLRD,2464,36.3,Minnesota
234,CLRD,2037,58.3,Mississippi
235,CLRD,3940,50.7,Missouri
236,CLRD,752,53.5,Montana
237,CLRD,1224,52.6,Nebraska
238,CLRD,1633,50,Nevada
239,CLRD,755,43,New Hampshire
240,CLRD,3227,28.6,New Jersey
241,CLRD,1143,44.2,New Mexico
242,CLRD,7258,28.9,New York
243,CLRD,5540,45.3,North Carolina
244,CLRD,358,38.3,North Dakota
245,CLRD,7312,48.5,Ohio
246,CLRD,3035,65.9,Oklahoma
247,CLRD,2088,39.7,Oregon
248,CLRD,6667,37.1,Pennsylvania
249,CLRD,521,36.2,Rhode Island
250,CLRD,2983,47.9,South Carolina
251,CLRD,505,45.3,South Dakota
252,CLRD,4657,57.4,Tennessee
253,CLRD,10650,40.5,Texas
254,CLRD,826,32.1,Utah
255,CLRD,375,43,Vermont
256,CLRD,3363,34.9,Virginia
257,CLRD,3177,38.1,Washington
258,CLRD,1681,64.3,West Virginia
259,CLRD,2834,38.3,Wisconsin
260,CLRD,366,53.8,Wyoming
261,Diabetes,83564,21.5,United States
262,Diabetes,1173,19.8,Alabama
263,Diabetes,130,19.3,Alaska
264,Diabetes,2054,23.7,Arizona
265,Diabetes,1180,32.4,Arkansas
266,Diabetes,9595,22.1,California
267,Diabetes,1017,17.2,Colorado
268,Diabetes,694,14.5,Connecticut
269,Diabetes,244,19.1,Delaware
270,Diabetes,138,20.1,District of Columbia
271,Diabetes,6172,20.2,Florida
272,Diabetes,2348,21.5,Georgia
273,Diabetes,299,15.9,Hawaii
274,Diabetes,394,20.3,Idaho
275,Diabetes,2927,19.2,Illinois
276,Diabetes,2096,26.6,Indiana
277,Diabetes,918,22.8,Iowa
278,Diabetes,874,25.2,Kansas
279,Diabetes,1474,27.7,Kentucky
280,Diabetes,1272,23.9,Louisiana
281,Diabetes,395,19.8,Maine
282,Diabetes,1439,20.3,Maryland
283,Diabetes,1321,15.1,Massachusetts
284,Diabetes,2798,22.1,Michigan
285,Diabetes,1312,19.3,Minnesota
286,Diabetes,1164,33.3,Mississippi
287,Diabetes,1605,21,Missouri
288,Diabetes,292,21.6,Montana
289,Diabetes,575,25,Nebraska
290,Diabetes,609,18.3,Nevada
291,Diabetes,340,19.2,New Hampshire
292,Diabetes,1908,16.9,New Jersey
293,Diabetes,673,26.5,New Mexico
294,Diabetes,4176,16.8,New York
295,Diabetes,2903,23.6,North Carolina
296,Diabetes,194,21.8,North Dakota
297,Diabetes,3740,25.2,Ohio
298,Diabetes,1398,30.6,Oklahoma
299,Diabetes,1243,23.9,Oregon
300,Diabetes,3704,21.1,Pennsylvania
301,Diabetes,275,18.8,Rhode Island
302,Diabetes,1535,24.5,South Carolina
303,Diabetes,263,24.9,South Dakota
304,Diabetes,1915,24,Tennessee
305,Diabetes,5832,21.2,Texas
306,Diabetes,596,22.9,Utah
307,Diabetes,163,19.2,Vermont
308,Diabetes,1967,20.1,Virginia
309,Diabetes,1812,21.6,Washington
310,Diabetes,864,34,West Virginia
311,Diabetes,1433,19.4,Wisconsin
312,Diabetes,121,18.1,Wyoming
313,Heart disease,647457,165,United States
314,Heart disease,13110,223.2,Alabama
315,Heart disease,814,135,Alaska
316,Heart disease,12398,141.9,Arizona
317,Heart disease,8270,223.8,Arkansas
318,Heart disease,62797,142.9,California
319,Heart disease,7060,122.7,Colorado
320,Heart disease,7138,141.6,Connecticut
321,Heart disease,1990,158.4,Delaware
322,Heart disease,1284,189.8,District of Columbia
323,Heart disease,46440,145.8,Florida
324,Heart disease,18389,175.8,Georgia
325,Heart disease,2575,129.8,Hawaii
326,Heart disease,3084,162.5,Idaho
327,Heart disease,25394,163.3,Illinois
328,Heart disease,14445,183.2,Indiana
329,Heart disease,7180,167.4,Iowa
330,Heart disease,5723,158,Kansas
331,Heart disease,10343,195.9,Kentucky
332,Heart disease,11260,214.4,Louisiana
333,Heart disease,2844,143.5,Maine
334,Heart disease,11653,164.5,Maryland
335,Heart disease,12140,134.7,Massachusetts
336,Heart disease,25187,196.1,Michigan
337,Heart disease,8230,119.1,Minnesota
338,Heart disease,7944,231.6,Mississippi
339,Heart disease,14820,191.1,Missouri
340,Heart disease,2164,155,Montana
341,Heart disease,3581,149.3,Nebraska
342,Heart disease,6417,199.3,Nevada
343,Heart disease,2721,149.7,New Hampshire
344,Heart disease,18840,162.3,New Jersey
345,Heart disease,3896,151.4,New Mexico
346,Heart disease,44092,171.2,New York
347,Heart disease,18808,156.5,North Carolina
348,Heart disease,1326,137.8,North Dakota
349,Heart disease,28008,186.2,Ohio
350,Heart disease,10772,237.2,Oklahoma
351,Heart disease,6942,134,Oregon
352,Heart disease,32312,176,Pennsylvania
353,Heart disease,2339,155.7,Rhode Island
354,Heart disease,10418,172,South Carolina
355,Heart disease,1710,150.1,South Dakota
356,Heart disease,16019,202.2,Tennessee
357,Heart disease,45346,169.2,Texas
358,Heart disease,3749,150.2,Utah
359,Heart disease,1332,152.5,Vermont
360,Heart disease,14861,154.5,Virginia
361,Heart disease,11582,138.8,Washington
362,Heart disease,4849,192,West Virginia
363,Heart disease,11860,157.6,Wisconsin
364,Heart disease,1001,148.9,Wyoming
365,Influenza and pneumonia,55672,14.3,United States
366,Influenza and pneumonia,1176,20.2,Alabama
367,Influenza and pneumonia,66,11.7,Alaska
368,Influenza and pneumonia,876,10.1,Arizona
369,Influenza and pneumonia,720,19.8,Arkansas
370,Influenza and pneumonia,6340,14.6,California
371,Influenza and pneumonia,577,10.1,Colorado
372,Influenza and pneumonia,675,13.1,Connecticut
373,Influenza and pneumonia,184,14.9,Delaware
374,Influenza and pneumonia,79,11.4,District of Columbia
375,Influenza and pneumonia,3057,9.6,Florida
376,Influenza and pneumonia,1400,13.8,Georgia
377,Influenza and pneumonia,637,29.6,Hawaii
378,Influenza and pneumonia,255,13.7,Idaho
379,Influenza and pneumonia,2402,15.6,Illinois
380,Influenza and pneumonia,1078,13.8,Indiana
381,Influenza and pneumonia,578,13.2,Iowa
382,Influenza and pneumonia,546,15,Kansas
383,Influenza and pneumonia,932,18.1,Kentucky
384,Influenza and pneumonia,785,15.1,Louisiana
385,Influenza and pneumonia,301,15.2,Maine
386,Influenza and pneumonia,990,14,Maryland
387,Influenza and pneumonia,1433,15.9,Massachusetts
388,Influenza and pneumonia,1798,14.2,Michigan
389,Influenza and pneumonia,697,9.9,Minnesota
390,Influenza and pneumonia,782,23,Mississippi
391,Influenza and pneumonia,1281,16.7,Missouri
392,Influenza and pneumonia,185,13.3,Montana
393,Influenza and pneumonia,393,16.2,Nebraska
394,Influenza and pneumonia,636,19.6,Nevada
395,Influenza and pneumonia,230,13.1,New Hampshire
396,Influenza and pneumonia,1337,11.7,New Jersey
397,Influenza and pneumonia,338,13.6,New Mexico
398,Influenza and pneumonia,4517,17.7,New York
399,Influenza and pneumonia,2076,17.5,North Carolina
400,Influenza and pneumonia,147,15.3,North Dakota
401,Influenza and pneumonia,2243,14.9,Ohio
402,Influenza and pneumonia,625,13.9,Oklahoma
403,Influenza and pneumonia,573,11.1,Oregon
404,Influenza and pneumonia,2718,14.6,Pennsylvania
405,Influenza and pneumonia,206,13.9,Rhode Island
406,Influenza and pneumonia,723,12.3,South Carolina
407,Influenza and pneumonia,217,19,South Dakota
408,Influenza and pneumonia,1656,21.3,Tennessee
409,Influenza and pneumonia,2954,11.2,Texas
410,Influenza and pneumonia,334,13.3,Utah
411,Influenza and pneumonia,86,9.7,Vermont
412,Influenza and pneumonia,1245,13.1,Virginia
413,Influenza and pneumonia,1041,12.6,Washington
414,Influenza and pneumonia,458,18.2,West Virginia
415,Influenza and pneumonia,974,12.9,Wisconsin
416,Influenza and pneumonia,115,17.5,Wyoming
417,Suicide,47173,14,United States
418,Suicide,836,16.6,Alabama
419,Suicide,200,27,Alaska
420,Suicide,1327,18.2,Arizona
421,Suicide,631,20.8,Arkansas
422,Suicide,4312,10.5,California
423,Suicide,1181,20.3,Colorado
424,Suicide,405,10.5,Connecticut
425,Suicide,112,11.6,Delaware
426,Suicide,47,6.6,District of Columbia
427,Suicide,3227,14,Florida
428,Suicide,1451,13.6,Georgia
429,Suicide,227,15.2,Hawaii
430,Suicide,392,23.2,Idaho
431,Suicide,1474,11.2,Illinois
432,Suicide,1092,16.3,Indiana
433,Suicide,479,15,Iowa
434,Suicide,553,19.1,Kansas
435,Suicide,770,16.9,Kentucky
436,Suicide,720,15.2,Louisiana
437,Suicide,274,18.9,Maine
438,Suicide,630,9.9,Maryland
439,Suicide,682,9.5,Massachusetts
440,Suicide,1457,14.1,Michigan
441,Suicide,783,13.9,Minnesota
442,Suicide,445,15,Mississippi
443,Suicide,1151,18.5,Missouri
444,Suicide,311,28.9,Montana
445,Suicide,275,14.7,Nebraska
446,Suicide,627,20.3,Nevada
447,Suicide,265,18.9,New Hampshire
448,Suicide,795,8.3,New Jersey
449,Suicide,491,23.3,New Mexico
450,Suicide,1696,8.1,New York
451,Suicide,1521,14.3,North Carolina
452,Suicide,154,20.1,North Dakota
453,Suicide,1740,14.8,Ohio
454,Suicide,756,19.1,Oklahoma
455,All causes,125104,793.2,Pennsylvania
456,Suicide,825,19,Oregon
457,Suicide,2030,15,Pennsylvania
458,Suicide,129,11.8,Rhode Island
459,Suicide,838,16.3,South Carolina
460,Suicide,191,22.5,South Dakota
461,Suicide,1166,16.8,Tennessee
462,Suicide,3778,13.4,Texas
463,Suicide,663,22.7,Utah
464,Suicide,112,18.3,Vermont
465,Suicide,1179,13.4,Virginia
466,Suicide,1297,16.9,Washington
467,Suicide,393,21.1,West Virginia
468,Suicide,926,15.4,Wisconsin
469,Suicide,157,26.9,Wyoming
470,Cancer,599108,152.5,United States
471,Cancer,10410,170,Alabama
472,Cancer,926,139.2,Alaska
473,Cancer,12008,135.8,Arizona
474,Cancer,6517,173.6,Arkansas
475,Cancer,59516,136.8,California
476,Cancer,7829,131,Colorado
477,Cancer,6608,139.6,Connecticut
478,Cancer,2085,160.4,Delaware
479,Cancer,1031,152.8,District of Columbia
480,Cancer,45131,145.9,Florida
481,Cancer,17135,154.9,Georgia
482,Cancer,2456,128.6,Hawaii
483,Cancer,3020,153.2,Idaho
484,Cancer,24150,157.9,Illinois
485,Cancer,13462,170,Indiana
486,Cancer,6449,158,Iowa
487,Cancer,5494,157.2,Kansas
488,Cancer,10145,185.7,Kentucky
489,Cancer,9513,174.9,Louisiana
490,Cancer,3391,170.8,Maine
491,Cancer,10796,151.5,Maryland
492,Cancer,12934,149.3,Massachusetts
493,Cancer,20671,161.3,Michigan
494,Cancer,9896,146.8,Minnesota
495,Cancer,6526,183.1,Mississippi
496,Cancer,12971,167.3,Missouri
497,Cancer,2145,152.6,Montana
498,Cancer,3502,152.6,Nebraska
499,Cancer,5283,155.3,Nevada
500,Cancer,2760,153.5,New Hampshire
501,Cancer,16264,144.6,New Jersey
502,Cancer,3620,138.3,New Mexico
503,Cancer,34956,141.2,New York
504,Cancer,19474,157.1,North Carolina
505,Cancer,1280,142.6,North Dakota
506,Cancer,25643,171.2,Ohio
507,Cancer,8203,177.3,Oklahoma
508,Cancer,8083,154.2,Oregon
509,Cancer,28387,161,Pennsylvania
510,Cancer,2154,154.2,Rhode Island
511,Cancer,10356,162.7,South Carolina
512,Cancer,1715,156.9,South Dakota
513,Cancer,14302,173.4,Tennessee
514,Cancer,40668,146.5,Texas
515,Cancer,3161,120.3,Utah
516,Cancer,1434,164.5,Vermont
517,Cancer,15064,152.6,Virginia
518,Cancer,12664,148.4,Washington
519,Cancer,4654,179.4,West Virginia
520,Cancer,11318,153.2,Wisconsin
521,Cancer,948,136.1,Wyoming
522,Kidney disease,50633,13,United States
523,Kidney disease,980,16.5,Alabama
524,Kidney disease,54,9.9,Alaska
525,Kidney disease,540,6.2,Arizona
526,Kidney disease,725,19.7,Arkansas
527,Kidney disease,3887,8.9,California
528,Kidney disease,503,8.9,Colorado
529,Kidney disease,554,11.2,Connecticut
530,Kidney disease,205,16.1,Delaware
531,Kidney disease,67,10,District of Columbia
532,Kidney disease,3172,10.1,Florida
533,Kidney disease,1942,18.6,Georgia
534,Kidney disease,208,10.7,Hawaii
535,Kidney disease,170,9,Idaho
536,Kidney disease,2565,16.8,Illinois
537,Kidney disease,1440,18.5,Indiana
538,Kidney disease,367,8.8,Iowa
539,Kidney disease,541,15,Kansas
540,Kidney disease,1024,19.4,Kentucky
541,Kidney disease,1076,20.6,Louisiana
542,Kidney disease,260,13,Maine
543,Kidney disease,830,11.9,Maryland
544,Kidney disease,1193,13.4,Massachusetts
545,Kidney disease,1874,14.7,Michigan
546,Kidney disease,537,7.7,Minnesota
547,Kidney disease,741,21.7,Mississippi
548,Kidney disease,1515,19.6,Missouri
549,Kidney disease,129,9.2,Montana
550,Kidney disease,226,9.5,Nebraska
551,Kidney disease,299,9,Nevada
552,Kidney disease,169,9.4,New Hampshire
553,Kidney disease,1591,13.9,New Jersey
554,Kidney disease,330,12.9,New Mexico
555,Kidney disease,2296,9.1,New York
556,Kidney disease,2040,17.1,North Carolina
557,Kidney disease,122,12.9,North Dakota
558,Kidney disease,2237,15,Ohio
559,Kidney disease,461,10.2,Oklahoma
560,Kidney disease,377,7.3,Oregon
561,Kidney disease,2898,15.9,Pennsylvania
562,Kidney disease,176,11.6,Rhode Island
563,Kidney disease,950,15.5,South Carolina
564,Kidney disease,75,6.8,South Dakota
565,Kidney disease,1140,14.4,Tennessee
566,Kidney disease,4256,16,Texas
567,Kidney disease,384,15.4,Utah
568,Kidney disease,29,3.3,Vermont
569,Kidney disease,1618,16.9,Virginia
570,Kidney disease,439,5.3,Washington
571,Kidney disease,436,17.1,West Virginia
572,Kidney disease,922,12.5,Wisconsin
573,Kidney disease,63,9.5,Wyoming
574,Unintentional injuries,2755,55.5,Alabama
575,Unintentional injuries,439,63.1,Alaska
576,Unintentional injuries,4010,54.2,Arizona
577,Unintentional injuries,1604,51.8,Arkansas
578,Unintentional injuries,13213,32,California
579,Unintentional injuries,2880,51.2,Colorado
580,Unintentional injuries,1978,50.3,Connecticut
581,Unintentional injuries,516,52.4,Delaware
582,Unintentional injuries,401,58.3,District of Columbia
583,Unintentional injuries,12561,54.9,Florida
584,Unintentional injuries,4701,45.8,Georgia
585,Unintentional injuries,577,35.3,Hawaii
586,Unintentional injuries,849,49.5,Idaho
587,Unintentional injuries,5508,41,Illinois
588,Unintentional injuries,3496,51.6,Indiana
589,Unintentional injuries,1608,45.8,Iowa
590,Unintentional injuries,1444,45.7,Kansas
591,Unintentional injuries,3194,71,Kentucky
592,Unintentional injuries,2710,57.4,Louisiana
593,Unintentional injuries,909,62.4,Maine
594,Unintentional injuries,2271,35.7,Maryland
595,Unintentional injuries,3831,52.8,Massachusetts
596,Unintentional injuries,5313,50.5,Michigan
597,Unintentional injuries,2697,43.8,Minnesota
598,Unintentional injuries,1803,59.2,Mississippi
599,Unintentional injuries,3625,57,Missouri
600,Unintentional injuries,626,54.1,Montana
601,Unintentional injuries,772,37,Nebraska
602,Unintentional injuries,1395,46,Nevada
603,Unintentional injuries,924,66.6,New Hampshire
604,Unintentional injuries,3839,40.8,New Jersey
605,Unintentional injuries,1487,69.5,New Mexico
606,Unintentional injuries,7354,34.2,New York
607,Unintentional injuries,5476,52.2,North Carolina
608,Unintentional injuries,371,45.4,North Dakota
609,Unintentional injuries,7999,66.6,Ohio
610,Unintentional injuries,2592,64.1,Oklahoma
611,Unintentional injuries,2105,46,Oregon
612,Unintentional injuries,8410,61.8,Pennsylvania
613,Unintentional injuries,675,56.6,Rhode Island
614,Unintentional injuries,3012,58.9,South Carolina
615,Unintentional injuries,505,53.4,South Dakota
616,Unintentional injuries,4238,61.1,Tennessee
617,Unintentional injuries,10536,38.6,Texas
618,Unintentional injuries,1211,43.8,Utah
619,Unintentional injuries,372,54.8,Vermont
620,Unintentional injuries,3710,42.4,Virginia
621,Unintentional injuries,3221,41.4,Washington
622,Unintentional injuries,1705,89.7,West Virginia
623,Unintentional injuries,3575,55.6,Wisconsin
624,Unintentional injuries,371,61.9,Wyoming
625,Unintentional injuries,161374,47.4,United States
626,All causes,52466,920.4,Alabama
627,All causes,4494,745.6,Alaska
628,All causes,56645,675.8,Arizona
629,All causes,31756,893.2,Arkansas
630,All causes,262240,616.9,California
631,All causes,37530,669.5,Colorado
632,All causes,30543,654,Connecticut
633,All causes,8874,746.2,Delaware
634,All causes,5037,766,District of Columbia
635,All causes,197313,666.6,Florida
636,All causes,81428,800.4,Georgia
637,All causes,10913,572,Hawaii
638,All causes,13366,725,Idaho
639,All causes,107020,724.3,Illinois
640,All causes,63473,835,Indiana
641,All causes,29538,721.1,Iowa
642,All causes,26245,756.8,Kansas
643,All causes,47827,938.4,Kentucky
644,All causes,44306,870.5,Louisiana
645,All causes,14182,759,Maine
646,All causes,48824,717.6,Maryland
647,All causes,56961,669,Massachusetts
648,All causes,96231,785.4,Michigan
649,All causes,43078,648.1,Minnesota
650,All causes,31741,948.9,Mississippi
651,All causes,59873,808.2,Missouri
652,All causes,9905,743.2,Montana
653,All causes,16217,707,Nebraska
654,All causes,23902,762.6,Nevada
655,All causes,12203,721.5,New Hampshire
656,All causes,73155,668.5,New Jersey
657,All causes,18365,753.4,New Mexico
658,All causes,154358,640.7,New York
659,All causes,90465,782.4,North Carolina
660,All causes,6242,688.4,North Dakota
661,All causes,119572,832.3,Ohio
662,All causes,39276,888.4,Oklahoma
663,All causes,35778,705.9,Oregon
664,All causes,133040,770.1,Pennsylvania
665,All causes,9735,690.1,Rhode Island
666,All causes,48130,829.8,South Carolina
667,All causes,7845,719.5,South Dakota
668,All causes,67857,886.3,Tennessee
669,All causes,191966,730.6,Texas
670,All causes,2744248,728.8,United States
671,All causes,17913,714.7,Utah
672,All causes,5909,712.8,Vermont
673,All causes,66473,715.5,Virginia
674,All causes,54769,672,Washington
675,All causes,22732,943.3,West Virginia
676,All causes,51815,717.9,Wisconsin
677,All causes,4722,720.9,Wyoming
678,Alzheimer's disease,2507,45,Alabama
679,Alzheimer's disease,111,25.8,Alaska
680,Alzheimer's disease,3082,35.8,Arizona
