ID,Cause_Name,State
119,Alzheimer's disease,Illinois
120,Alzheimer's disease,Indiana
121,Alzheimer's disease,Iowa
122,Alzheimer's disease,Kansas
123,Alzheimer's disease,Kentucky
124,Alzheimer's disease,Louisiana
125,Alzheimer's disease,Maine
126,Alzheimer's disease,Maryland
127,Alzheimer's disease,Massachusetts
128,Alzheimer's disease,Michigan
129,Alzheimer's disease,Minnesota
130,Alzheimer's disease,Mississippi
131,Alzheimer's disease,Missouri
132,Alzheimer's disease,Montana
133,Alzheimer's disease,Nebraska
134,Alzheimer's disease,Nevada
135,Alzheimer's disease,New Hampshire
136,Alzheimer's disease,New Jersey
137,Alzheimer's disease,New Mexico
138,Alzheimer's disease,New York
139,Alzheimer's disease,North Carolina
140,Alzheimer's disease,North Dakota
141,Alzheimer's disease,Ohio
142,Alzheimer's disease,Oklahoma
143,Alzheimer's disease,Oregon
144,Alzheimer's disease,Pennsylvania
145,Alzheimer's disease,Rhode Island
146,Alzheimer's disease,South Carolina
147,Alzheimer's disease,South Dakota
148,Alzheimer's disease,Tennessee
149,Alzheimer's disease,Texas
150,Alzheimer's disease,Utah
151,Alzheimer's disease,Vermont
152,Alzheimer's disease,Virginia
153,Alzheimer's disease,Washington
154,Alzheimer's disease,West Virginia
155,Alzheimer's disease,Wisconsin
156,Alzheimer's disease,Wyoming
157,Stroke,United States
158,Stroke,Alabama
159,Stroke,Alaska
160,Stroke,Arizona
161,Stroke,Arkansas
162,Stroke,California
163,Stroke,Colorado
164,Stroke,Connecticut
165,Stroke,Delaware
166,Stroke,District of Columbia
167,Stroke,Florida
168,Stroke,Georgia
169,Stroke,Hawaii
170,Stroke,Idaho
171,Stroke,Illinois
172,Stroke,Indiana
173,Stroke,Iowa
174,Stroke,Kansas
175,Stroke,Kentucky
176,Stroke,Louisiana
177,Stroke,Maine
178,Stroke,Maryland
179,Stroke,Massachusetts
180,Stroke,Michigan
181,Stroke,Minnesota
182,Stroke,Mississippi
183,Stroke,Missouri
184,Stroke,Montana
185,Stroke,Nebraska
186,Stroke,Nevada
187,Stroke,New Hampshire
188,Stroke,New Jersey
189,Stroke,New Mexico
190,Stroke,New York
191,Stroke,North Carolina
192,Stroke,North Dakota
193,Stroke,Ohio
194,Stroke,Oklahoma
195,Stroke,Oregon
196,Stroke,Pennsylvania
197,Stroke,Rhode Island
198,Stroke,South Carolina
199,Stroke,South Dakota
200,Stroke,Tennessee
201,Stroke,Texas
202,Stroke,Utah
203,Stroke,Vermont
204,Stroke,Virginia
205,Stroke,Washington
206,Stroke,West Virginia
207,Stroke,Wisconsin
208,Stroke,Wyoming
209,CLRD,United States
210,CLRD,Alabama
211,CLRD,Alaska
212,CLRD,Arizona
213,CLRD,Arkansas
214,CLRD,California
215,CLRD,Colorado
216,CLRD,Connecticut
217,CLRD,Delaware
218,CLRD,District of Columbia
219,CLRD,Florida
220,CLRD,Georgia
221,CLRD,Hawaii
222,CLRD,Idaho
223,CLRD,Illinois
224,CLRD,Indiana
225,CLRD,Iowa
226,CLRD,Kansas
227,CLRD,Kentucky
228,CLRD,Louisiana
229,CLRD,Maine
230,CLRD,Maryland
231,CLRD,Massachusetts
232,CLRD,Michigan
233,CLRD,Minnesota
234,CLRD,Mississippi
235,CLRD,Missouri
236,CLRD,Montana
237,CLRD,Nebraska
238,CLRD,Nevada
239,CLRD,New Hampshire
240,CLRD,New Jersey
241,CLRD,New Mexico
242,CLRD,New York
243,CLRD,North Carolina
244,CLRD,North Dakota
245,CLRD,Ohio
246,CLRD,Oklahoma
247,CLRD,Oregon
248,CLRD,Pennsylvania
249,CLRD,Rhode Island
250,CLRD,South Carolina
251,CLRD,South Dakota
252,CLRD,Tennessee
253,CLRD,Texas
254,CLRD,Utah
255,CLRD,Vermont
256,CLRD,Virginia
257,CLRD,Washington
258,CLRD,West Virginia
259,CLRD,Wisconsin
260,CLRD,Wyoming
261,Diabetes,United States
262,Diabetes,Alabama
263,Diabetes,Alaska
264,Diabetes,Arizona
265,Diabetes,Arkansas
266,Diabetes,California
267,Diabetes,Colorado
268,Diabetes,Connecticut
269,Diabetes,Delaware
270,Diabetes,District of Columbia
271,Diabetes,Florida
272,Diabetes,Georgia
273,Diabetes,Hawaii
274,Diabetes,Idaho
275,Diabetes,Illinois
276,Diabetes,Indiana
277,Diabetes,Iowa
278,Diabetes,Kansas
279,Diabetes,Kentucky
280,Diabetes,Louisiana
281,Diabetes,Maine
282,Diabetes,Maryland
283,Diabetes,Massachusetts
284,Diabetes,Michigan
285,Diabetes,Minnesota
286,Diabetes,Mississippi
287,Diabetes,Missouri
288,Diabetes,Montana
289,Diabetes,Nebraska
290,Diabetes,Nevada
291,Diabetes,New Hampshire
292,Diabetes,New Jersey
293,Diabetes,New Mexico
294,Diabetes,New York
295,Diabetes,North Carolina
296,Diabetes,North Dakota
297,Diabetes,Ohio
298,Diabetes,Oklahoma
299,Diabetes,Oregon
300,Diabetes,Pennsylvania
301,Diabetes,Rhode Island
302,Diabetes,South Carolina
303,Diabetes,South Dakota
304,Diabetes,Tennessee
305,Diabetes,Texas
306,Diabetes,Utah
307,Diabetes,Vermont
308,Diabetes,Virginia
309,Diabetes,Washington
310,Diabetes,West Virginia
311,Diabetes,Wisconsin
312,Diabetes,Wyoming
313,Heart disease,United States
314,Heart disease,Alabama
315,Heart disease,Alaska
316,Heart disease,Arizona
317,Heart disease,Arkansas
318,Heart disease,California
319,Heart disease,Colorado
320,Heart disease,Connecticut
321,Heart disease,Delaware
322,Heart disease,District of Columbia
323,Heart disease,Florida
324,Heart disease,Georgia
325,Heart disease,Hawaii
326,Heart disease,Idaho
327,Heart disease,Illinois
328,Heart disease,Indiana
329,Heart disease,Iowa
330,Heart disease,Kansas
331,Heart disease,Kentucky
332,Heart disease,Louisiana
333,Heart disease,Maine
334,Heart disease,Maryland
335,Heart disease,Massachusetts
336,Heart disease,Michigan
337,Heart disease,Minnesota
338,Heart disease,Mississippi
339,Heart disease,Missouri
340,Heart disease,Montana
341,Heart disease,Nebraska
342,Heart disease,Nevada
343,Heart disease,New Hampshire
344,Heart disease,New Jersey
345,Heart disease,New Mexico
346,Heart disease,New York
347,Heart disease,North Carolina
348,Heart disease,North Dakota
349,Heart disease,Ohio
350,Heart disease,Oklahoma
351,Heart disease,Oregon
352,Heart disease,Pennsylvania
353,Heart disease,Rhode Island
354,Heart disease,South Carolina
355,Heart disease,South Dakota
356,Heart disease,Tennessee
357,Heart disease,Texas
358,Heart disease,Utah
359,Heart disease,Vermont
360,Heart disease,Virginia
361,Heart disease,Washington
362,Heart disease,West Virginia
363,Heart disease,Wisconsin
364,Heart disease,Wyoming
365,Influenza and pneumonia,United States
366,Influenza and pneumonia,Alabama
367,Influenza and pneumonia,Alaska
368,Influenza and pneumonia,Arizona
369,Influenza and pneumonia,Arkansas
370,Influenza and pneumonia,California
371,Influenza and pneumonia,Colorado
372,Influenza and pneumonia,Connecticut
373,Influenza and pneumonia,Delaware
374,Influenza and pneumonia,District of Columbia
375,Influenza and pneumonia,Florida
376,Influenza and pneumonia,Georgia
377,Influenza and pneumonia,Hawaii
378,Influenza and pneumonia,Idaho
379,Influenza and pneumonia,Illinois
380,Influenza and pneumonia,Indiana
381,Influenza and pneumonia,Iowa
382,Influenza and pneumonia,Kansas
383,Influenza and pneumonia,Kentucky
384,Influenza and pneumonia,Louisiana
385,Influenza and pneumonia,Maine
386,Influenza and pneumonia,Maryland
387,Influenza and pneumonia,Massachusetts
388,Influenza and pneumonia,Michigan
389,Influenza and pneumonia,Minnesota
390,Influenza and pneumonia,Mississippi
391,Influenza and pneumonia,Missouri
392,Influenza and pneumonia,Montana
393,Influenza and pneumonia,Nebraska
394,Influenza and pneumonia,Nevada
395,Influenza and pneumonia,New Hampshire
396,Influenza and pneumonia,New Jersey
397,Influenza and pneumonia,New Mexico
398,Influenza and pneumonia,New York
399,Influenza and pneumonia,North Carolina
400,Influenza and pneumonia,North Dakota
401,Influenza and pneumonia,Ohio
402,Influenza and pneumonia,Oklahoma
403,Influenza and pneumonia,Oregon
404,Influenza and pneumonia,Pennsylvania
405,Influenza and pneumonia,Rhode Island
406,Influenza and pneumonia,South Carolina
407,Influenza and pneumonia,South Dakota
408,Influenza and pneumonia,Tennessee
409,Influenza and pneumonia,Texas
410,Influenza and pneumonia,Utah
411,Influenza and pneumonia,Vermont
412,Influenza and pneumonia,Virginia
413,Influenza and pneumonia,Washington
414,Influenza and pneumonia,West Virginia
415,Influenza and pneumonia,Wisconsin
416,Influenza and pneumonia,Wyoming
417,Suicide,United States
418,Suicide,Alabama
419,Suicide,Alaska
420,Suicide,Arizona
421,Suicide,Arkansas
422,Suicide,California
423,Suicide,Colorado
424,Suicide,Connecticut
425,Suicide,Delaware
426,Suicide,District of Columbia
427,Suicide,Florida
428,Suicide,Georgia
429,Suicide,Hawaii
430,Suicide,Idaho
431,Suicide,Illinois
432,Suicide,Indiana
433,Suicide,Iowa
434,Suicide,Kansas
435,Suicide,Kentucky
436,Suicide,Louisiana
437,Suicide,Maine
438,Suicide,Maryland
439,Suicide,Massachusetts
440,Suicide,Michigan
441,Suicide,Minnesota
442,Suicide,Mississippi
443,Suicide,Missouri
444,Suicide,Montana
445,Suicide,Nebraska
446,Suicide,Nevada
447,Suicide,New Hampshire
448,Suicide,New Jersey
449,Suicide,New Mexico
450,Suicide,New York
451,Suicide,North Carolina
452,Suicide,North Dakota
453,Suicide,Ohio
454,Suicide,Oklahoma
455,All causes,Pennsylvania
456,Suicide,Oregon
457,Suicide,Pennsylvania
458,Suicide,Rhode Island
459,Suicide,South Carolina
460,Suicide,South Dakota
461,Suicide,Tennessee
462,Suicide,Texas
463,Suicide,Utah
464,Suicide,Vermont
465,Suicide,Virginia
466,Suicide,Washington
467,Suicide,West Virginia
468,Suicide,Wisconsin
469,Suicide,Wyoming
470,Cancer,United States
471,Cancer,Alabama
472,Cancer,Alaska
473,Cancer,Arizona
474,Cancer,Arkansas
475,Cancer,California
476,Cancer,Colorado
477,Cancer,Connecticut
478,Cancer,Delaware
479,Cancer,District of Columbia
480,Cancer,Florida
481,Cancer,Georgia
482,Cancer,Hawaii
483,Cancer,Idaho
484,Cancer,Illinois
485,Cancer,Indiana
486,Cancer,Iowa
487,Cancer,Kansas
488,Cancer,Kentucky
489,Cancer,Louisiana
490,Cancer,Maine
491,Cancer,Maryland
492,Cancer,Massachusetts
493,Cancer,Michigan
494,Cancer,Minnesota
495,Cancer,Mississippi
496,Cancer,Missouri
497,Cancer,Montana
498,Cancer,Nebraska
499,Cancer,Nevada
500,Cancer,New Hampshire
501,Cancer,New Jersey
502,Cancer,New Mexico
503,Cancer,New York
504,Cancer,North Carolina
505,Cancer,North Dakota
506,Cancer,Ohio
507,Cancer,Oklahoma
508,Cancer,Oregon
509,Cancer,Pennsylvania
510,Cancer,Rhode Island
511,Cancer,South Carolina
512,Cancer,South Dakota
513,Cancer,Tennessee
514,Cancer,Texas
515,Cancer,Utah
516,Cancer,Vermont
517,Cancer,Virginia
518,Cancer,Washington
519,Cancer,West Virginia
520,Cancer,Wisconsin
521,Cancer,Wyoming
522,Kidney disease,United States
523,Kidney disease,Alabama
524,Kidney disease,Alaska
525,Kidney disease,Arizona
526,Kidney disease,Arkansas
527,Kidney disease,California
528,Kidney disease,Colorado
529,Kidney disease,Connecticut
530,Kidney disease,Delaware
531,Kidney disease,District of Columbia
532,Kidney disease,Florida
533,Kidney disease,Georgia
534,Kidney disease,Hawaii
535,Kidney disease,Idaho
536,Kidney disease,Illinois
537,Kidney disease,Indiana
538,Kidney disease,Iowa
539,Kidney disease,Kansas
540,Kidney disease,Kentucky
541,Kidney disease,Louisiana
542,Kidney disease,Maine
543,Kidney disease,Maryland
544,Kidney disease,Massachusetts
545,Kidney disease,Michigan
546,Kidney disease,Minnesota
547,Kidney disease,Mississippi
548,Kidney disease,Missouri
549,Kidney disease,Montana
550,Kidney disease,Nebraska
551,Kidney disease,Nevada
552,Kidney disease,New Hampshire
553,Kidney disease,New Jersey
554,Kidney disease,New Mexico
555,Kidney disease,New York
556,Kidney disease,North Carolina
557,Kidney disease,North Dakota
558,Kidney disease,Ohio
559,Kidney disease,Oklahoma
560,Kidney disease,Oregon
561,Kidney disease,Pennsylvania
562,Kidney disease,Rhode Island
563,Kidney disease,South Carolina
564,Kidney disease,South Dakota
565,Kidney disease,Tennessee
566,Kidney disease,Texas
567,Kidney disease,Utah
568,Kidney disease,Vermont
569,Kidney disease,Virginia
570,Kidney disease,Washington
571,Kidney disease,West Virginia
572,Kidney disease,Wisconsin
573,Kidney disease,Wyoming
574,Unintentional injuries,Alabama
575,Unintentional injuries,Alaska
576,Unintentional injuries,Arizona
577,Unintentional injuries,Arkansas
578,Unintentional injuries,California
579,Unintentional injuries,Colorado
580,Unintentional injuries,Connecticut
581,Unintentional injuries,Delaware
582,Unintentional injuries,District of Columbia
583,Unintentional injuries,Florida
584,Unintentional injuries,Georgia
585,Unintentional injuries,Hawaii
586,Unintentional injuries,Idaho
587,Unintentional injuries,Illinois
588,Unintentional injuries,Indiana
589,Unintentional injuries,Iowa
590,Unintentional injuries,Kansas
591,Unintentional injuries,Kentucky
592,Unintentional injuries,Louisiana
593,Unintentional injuries,Maine
594,Unintentional injuries,Maryland
595,Unintentional injuries,Massachusetts
596,Unintentional injuries,Michigan
597,Unintentional injuries,Minnesota
598,Unintentional injuries,Mississippi
599,Unintentional injuries,Missouri
600,Unintentional injuries,Montana
601,Unintentional injuries,Nebraska
602,Unintentional injuries,Nevada
603,Unintentional injuries,New Hampshire
604,Unintentional injuries,New Jersey
605,Unintentional injuries,New Mexico
606,Unintentional injuries,New York
607,Unintentional injuries,North Carolina
608,Unintentional injuries,North Dakota
609,Unintentional injuries,Ohio
610,Unintentional injuries,Oklahoma
611,Unintentional injuries,Oregon
612,Unintentional injuries,Pennsylvania
613,Unintentional injuries,Rhode Island
614,Unintentional injuries,South Carolina
615,Unintentional injuries,South Dakota
616,Unintentional injuries,Tennessee
617,Unintentional injuries,Texas
618,Unintentional injuries,Utah
619,Unintentional injuries,Vermont
620,Unintentional injuries,Virginia
621,Unintentional injuries,Washington
622,Unintentional injuries,West Virginia
623,Unintentional injuries,Wisconsin
624,Unintentional injuries,Wyoming
625,Unintentional injuries,United States
626,All causes,Alabama
627,All causes,Alaska
628,All causes,Arizona
629,All causes,Arkansas
630,All causes,California
631,All causes,Colorado
632,All causes,Connecticut
633,All causes,Delaware
634,All causes,District of Columbia
635,All causes,Florida
636,All causes,Georgia
637,All causes,Hawaii
638,All causes,Idaho
639,All causes,Illinois
640,All causes,Indiana
641,All causes,Iowa
642,All causes,Kansas
643,All causes,Kentucky
644,All causes,Louisiana
645,All causes,Maine
646,All causes,Maryland
647,All causes,Massachusetts
648,All causes,Michigan
649,All causes,Minnesota
650,All causes,Mississippi
651,All causes,Missouri
652,All causes,Montana
653,All causes,Nebraska
654,All causes,Nevada
655,All causes,New Hampshire
656,All causes,New Jersey
657,All causes,New Mexico
658,All causes,New York
659,All causes,North Carolina
660,All causes,North Dakota
661,All causes,Ohio
662,All causes,Oklahoma
663,All causes,Oregon
664,All causes,Pennsylvania
665,All causes,Rhode Island
666,All causes,South Carolina
667,All causes,South Dakota
668,All causes,Tennessee
669,All causes,Texas
670,All causes,United States
671,All causes,Utah
672,All causes,Vermont
673,All causes,Virginia
674,All causes,Washington
675,All causes,West Virginia
676,All causes,Wisconsin
677,All causes,Wyoming
678,Alzheimer's disease,Alabama
679,Alzheimer's disease,Alaska
680,Alzheimer's disease,Arizona
681,Alzheimer's disease,Arkansas
682,Alzheimer's disease,California
683,Alzheimer's disease,Colorado
684,Alzheimer's disease,Connecticut
685,Alzheimer's disease,Delaware
686,Alzheimer's disease,District of Columbia
687,Alzheimer's disease,Florida
688,Alzheimer's disease,Georgia
689,Alzheimer's disease,Hawaii
690,Alzheimer's disease,Idaho
691,Alzheimer's disease,Illinois
692,Alzheimer's disease,Indiana
693,Alzheimer's disease,Iowa
694,Alzheimer's disease,Kansas
695,Alzheimer's disease,Kentucky
696,Alzheimer's disease,Louisiana
697,Alzheimer's disease,Maine
698,Alzheimer's disease,Maryland
699,Alzheimer's disease,Massachusetts
700,Alzheimer's disease,Michigan
701,Alzheimer's disease,Minnesota
702,Alzheimer's disease,Mississippi
703,Alzheimer's disease,Missouri
704,Alzheimer's disease,Montana
705,Alzheimer's disease,Nebraska
706,Alzheimer's disease,Nevada
707,Alzheimer's disease,New Hampshire
708,Alzheimer's disease,New Jersey
709,Alzheimer's disease,New Mexico
710,Alzheimer's disease,New York
711,Alzheimer's disease,North Carolina
712,Alzheimer's disease,North Dakota
713,Alzheimer's disease,Ohio
714,Alzheimer's disease,Oklahoma
715,Alzheimer's disease,Oregon
716,Alzheimer's disease,Pennsylvania
717,Alzheimer's disease,Rhode Island
718,Alzheimer's disease,South Carolina
719,Alzheimer's disease,South Dakota
720,Alzheimer's disease,Tennessee
721,Alzheimer's disease,Texas
722,Alzheimer's disease,United States
723,Alzheimer's disease,Utah
724,Alzheimer's disease,Vermont
725,Alzheimer's disease,Virginia
726,Alzheimer's disease,Washington
727,Alzheimer's disease,West Virginia
728,Alzheimer's disease,Wisconsin
729,Alzheimer's disease,Wyoming
730,Stroke,Alabama
731,Stroke,Alaska
732,Stroke,Arizona
733,Stroke,Arkansas
734,Stroke,California
735,Stroke,Colorado
736,Stroke,Connecticut
737,Stroke,Delaware
738,Stroke,District of Columbia
739,Stroke,Florida
740,Stroke,Georgia
741,Stroke,Hawaii
742,Stroke,Idaho
743,Stroke,Illinois
744,Stroke,Indiana
745,Stroke,Iowa
746,Stroke,Kansas
747,Stroke,Kentucky
748,Stroke,Louisiana
749,Stroke,Maine
750,Stroke,Maryland
751,Stroke,Massachusetts
752,Stroke,Michigan
753,Stroke,Minnesota
754,Stroke,Mississippi
755,Stroke,Missouri
756,Stroke,Montana
757,Stroke,Nebraska
758,Stroke,Nevada
759,Stroke,New Hampshire
760,Stroke,New Jersey
761,Stroke,New Mexico
762,Stroke,New York
763,Stroke,North Carolina
764,Stroke,North Dakota
765,Stroke,Ohio
766,Stroke,Oklahoma
767,Stroke,Oregon
768,Stroke,Pennsylvania
769,Stroke,Rhode Island
770,Stroke,South Carolina
771,Stroke,South Dakota
772,Stroke,Tennessee
773,Stroke,Texas
774,Stroke,United States
775,Stroke,Utah
776,Stroke,Vermont
777,Stroke,Virginia
778,Stroke,Washington
779,Stroke,West Virginia
780,Stroke,Wisconsin
781,Stroke,Wyoming
782,CLRD,Alabama
783,CLRD,Alaska
784,CLRD,Arizona
785,CLRD,Arkansas
786,CLRD,California
787,CLRD,Colorado
788,CLRD,Connecticut
789,CLRD,Delaware
790,CLRD,District of Columbia
791,CLRD,Florida
792,CLRD,Georgia
793,CLRD,Hawaii
794,CLRD,Idaho
795,CLRD,Illinois
796,CLRD,Indiana
797,CLRD,Iowa
798,CLRD,Kansas
799,CLRD,Kentucky
800,CLRD,Louisiana
801,CLRD,Maine
802,CLRD,Maryland
803,CLRD,Massachusetts
804,CLRD,Michigan
805,CLRD,Minnesota
806,CLRD,Mississippi
807,CLRD,Missouri
808,CLRD,Montana
809,CLRD,Nebraska
810,CLRD,Nevada
811,CLRD,New Hampshire
812,CLRD,New Jersey
813,CLRD,New Mexico
814,CLRD,New York
815,CLRD,North Carolina
816,CLRD,North Dakota
817,CLRD,Ohio
818,CLRD,Oklahoma
819,CLRD,Oregon
820,CLRD,Pennsylvania
821,CLRD,Rhode Island
822,CLRD,South Carolina
823,CLRD,South Dakota
824,CLRD,Tennessee
825,CLRD,Texas
826,CLRD,United States
827,CLRD,Utah
828,CLRD,Vermont
829,CLRD,Virginia
830,CLRD,Washington
831,CLRD,West Virginia
832,CLRD,Wisconsin
833,CLRD,Wyoming
834,Diabetes,Alabama
835,Diabetes,Alaska
836,Diabetes,Arizona
837,Diabetes,Arkansas
838,Diabetes,California
839,Diabetes,Colorado
840,Diabetes,Connecticut
841,Diabetes,Delaware
842,Diabetes,District of Columbia
843,Diabetes,Florida
844,Diabetes,Georgia
845,Diabetes,Hawaii
846,Diabetes,Idaho
847,Diabetes,Illinois
848,Diabetes,Indiana
849,Diabetes,Iowa
850,Diabetes,Kansas
851,Diabetes,Kentucky
852,Diabetes,Louisiana
853,Diabetes,Maine
854,Diabetes,Maryland
855,Diabetes,Massachusetts
856,Diabetes,Michigan
857,Diabetes,Minnesota
858,Diabetes,Mississippi
859,Diabetes,Missouri
860,Diabetes,Montana
861,Diabetes,Nebraska
862,Diabetes,Nevada
863,Diabetes,New Hampshire
864,Diabetes,New Jersey
865,Diabetes,New Mexico
866,Diabetes,New York
867,Diabetes,North Carolina
868,Diabetes,North Dakota
869,Diabetes,Ohio
870,Diabetes,Oklahoma
871,Diabetes,Oregon
872,Diabetes,Pennsylvania
873,Diabetes,Rhode Island
874,Diabetes,South Carolina
875,Diabetes,South Dakota
876,Diabetes,Tennessee
877,Diabetes,Texas
878,Diabetes,United States
879,Diabetes,Utah
880,Diabetes,Vermont
881,Diabetes,Virginia
882,Diabetes,Washington
883,Diabetes,West Virginia
884,Diabetes,Wisconsin
885,Diabetes,Wyoming
886,Heart disease,Alabama
887,Heart disease,Alaska
888,Heart disease,Arizona
889,Heart disease,Arkansas
890,Heart disease,California
891,Heart disease,Colorado
892,Heart disease,Connecticut
893,Heart disease,Delaware
894,Heart disease,District of Columbia
895,Heart disease,Florida
896,Heart disease,Georgia
897,Heart disease,Hawaii
898,Heart disease,Idaho
899,Heart disease,Illinois
900,Heart disease,Indiana
901,Heart disease,Iowa
902,Heart disease,Kansas
903,Heart disease,Kentucky
904,Heart disease,Louisiana
905,Heart disease,Maine
906,Heart disease,Maryland
907,Heart disease,Massachusetts
908,Heart disease,Michigan
909,Heart disease,Minnesota
910,Heart disease,Mississippi
911,Heart disease,Missouri
912,Heart disease,Montana
913,Heart disease,Nebraska
914,Heart disease,Nevada
915,Heart disease,New Hampshire
916,Heart disease,New Jersey
917,Heart disease,New Mexico
918,Heart disease,New York
919,Heart disease,North Carolina
920,Heart disease,North Dakota
921,Heart disease,Ohio
922,Heart disease,Oklahoma
923,Heart disease,Oregon
924,Heart disease,Pennsylvania
925,Heart disease,Rhode Island
926,Heart disease,South Carolina
927,Heart disease,South Dakota
928,Heart disease,Tennessee
929,Heart disease,Texas
930,Heart disease,United States
931,Heart disease,Utah
932,Heart disease,Vermont
933,Heart disease,Virginia
934,Heart disease,Washington
935,Heart disease,West Virginia
936,Heart disease,Wisconsin
937,Heart disease,Wyoming
938,Influenza and pneumonia,Alabama
939,Influenza and pneumonia,Alaska
940,Influenza and pneumonia,Arizona
941,Influenza and pneumonia,Arkansas
942,Influenza and pneumonia,California
943,Influenza and pneumonia,Colorado
944,Influenza and pneumonia,Connecticut
945,Influenza and pneumonia,Delaware
946,Influenza and pneumonia,District of Columbia
947,Influenza and pneumonia,Florida
948,Influenza and pneumonia,Georgia
949,Influenza and pneumonia,Hawaii
950,Influenza and pneumonia,Idaho
951,Influenza and pneumonia,Illinois
952,Influenza and pneumonia,Indiana
953,Influenza and pneumonia,Iowa
954,Influenza and pneumonia,Kansas
955,Influenza and pneumonia,Kentucky
956,Influenza and pneumonia,Louisiana
957,Influenza and pneumonia,Maine
958,Influenza and pneumonia,Maryland
959,Influenza and pneumonia,Massachusetts
960,Influenza and pneumonia,Michigan
961,Influenza and pneumonia,Minnesota
962,Influenza and pneumonia,Mississippi
963,Influenza and pneumonia,Missouri
964,Influenza and pneumonia,Montana
965,Influenza and pneumonia,Nebraska
966,Influenza and pneumonia,Nevada
967,Influenza and pneumonia,New Hampshire
968,Influenza and pneumonia,New Jersey
969,Influenza and pneumonia,New Mexico
970,Influenza and pneumonia,New York
971,Influenza and pneumonia,North Carolina
972,Influenza and pneumonia,North Dakota
973,Influenza and pneumonia,Ohio
974,Influenza and pneumonia,Oklahoma
975,Influenza and pneumonia,Oregon
976,Influenza and pneumonia,Pennsylvania
977,Influenza and pneumonia,Rhode Island
978,Influenza and pneumonia,South Carolina
979,Influenza and pneumonia,South Dakota
980,Influenza and pneumonia,Tennessee
981,Influenza and pneumonia,Texas
982,Influenza and pneumonia,United States
983,Influenza and pneumonia,Utah
984,Influenza and pneumonia,Vermont
985,Influenza and pneumonia,Virginia
986,Influenza and pneumonia,Washington
987,Influenza and pneumonia,West Virginia
